1	HOG0000011
2	HOG0000161
3	HOG0000187
4	HOG0000352
5	HOG0000484
6	HOG0000512
7	HOG0000544
8	HOG0001025
9	HOG0001134
10	HOG0001246
11	HOG0001277
12	HOG0001337
13	HOG0001338
14	HOG0001344
15	HOG0001467
16	HOG0001602
17	HOG0001640
18	HOG0001669
19	HOG0001670
20	HOG0001853
21	HOG0001933
22	HOG0002006
23	HOG0002104
24	HOG0002326
25	HOG0002544
26	HOG0002556
27	HOG0002572
28	HOG0002623
29	HOG0002791
30	HOG0002801
31	HOG0002827
32	HOG0002859
33	HOG0002884
34	HOG0002899
35	HOG0003168
36	HOG0003291
37	HOG0003339
38	HOG0003438
39	HOG0003470
40	HOG0003507
41	HOG0003596
42	HOG0003637
43	HOG0003787
44	HOG0003950
45	HOG0005462
46	HOG0005470
47	HOG0005473
48	HOG0005474
49	HOG0005476
50	HOG0005483
51	HOG0005484
52	HOG0005485
53	HOG0005487
54	HOG0005489
55	HOG0005490
56	HOG0005493
57	HOG0005495
58	HOG0005498
59	HOG0005499
60	HOG0005500
61	HOG0005501
62	HOG0005502
63	HOG0005504
64	HOG0005505
65	HOG0005507
66	HOG0005512
67	HOG0005513
68	HOG0005515
69	HOG0005519
70	HOG0005522
71	HOG0005523
72	HOG0005525
73	HOG0005528
74	HOG0005529
75	HOG0005531
76	HOG0005533
77	HOG0005534
78	HOG0005536
79	HOG0005538
80	HOG0005543
81	HOG0005546
82	HOG0005548
83	HOG0005549
84	HOG0005550
85	HOG0005552
86	HOG0005556
87	HOG0005559
88	HOG0005561
89	HOG0005562
90	HOG0005563
91	HOG0005564
92	HOG0005566
93	HOG0005569
94	HOG0005571
95	HOG0005572
96	HOG0005574
97	HOG0005575
98	HOG0005579
99	HOG0005581
100	HOG0005583
101	HOG0005587
102	HOG0005588
103	HOG0005589
104	HOG0005595
105	HOG0005600
106	HOG0005602
107	HOG0005607
108	HOG0005615
109	HOG0005620
110	HOG0005623
111	HOG0005637
112	HOG0005638
113	HOG0005644
114	HOG0005645
115	HOG0005651
116	HOG0005653
117	HOG0005655
118	HOG0005660
119	HOG0005663
120	HOG0005666
121	HOG0005667
122	HOG0005669
123	HOG0005670
124	HOG0005672
125	HOG0005673
126	HOG0005674
127	HOG0005676
128	HOG0005677
129	HOG0005678
130	HOG0005680
131	HOG0005681
132	HOG0005682
133	HOG0005688
134	HOG0005690
135	HOG0005693
136	HOG0005694
137	HOG0005698
138	HOG0005699
139	HOG0005701
140	HOG0005703
141	HOG0005704
142	HOG0005705
143	HOG0005706
144	HOG0005708
145	HOG0005709
146	HOG0005710
147	HOG0005711
148	HOG0005712
149	HOG0005722
150	HOG0005725
151	HOG0005727
152	HOG0005733
153	HOG0005734
154	HOG0005736
155	HOG0005738
156	HOG0005739
157	HOG0005740
158	HOG0005745
159	HOG0005750
160	HOG0005758
161	HOG0005759
162	HOG0005761
163	HOG0005762
164	HOG0005763
165	HOG0005765
166	HOG0005766
167	HOG0005773
168	HOG0005774
169	HOG0005784
170	HOG0005785
171	HOG0005790
172	HOG0005791
173	HOG0005793
174	HOG0005797
175	HOG0005799
176	HOG0005800
177	HOG0005803
178	HOG0005804
179	HOG0005805
180	HOG0005807
181	HOG0005809
182	HOG0005811
183	HOG0005812
184	HOG0005815
185	HOG0005816
186	HOG0005819
187	HOG0005822
188	HOG0005823
189	HOG0005826
190	HOG0005829
191	HOG0005831
192	HOG0005833
193	HOG0005835
